ID,ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
1,11000047950,Sydney Missionary & Bible College,,Business,43 Badminton Rd,,,Croydon,New South Wales,2132,Australia,www.smbc.edu.au,3/12/2012,,Large,10,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,Y,,,Y,,Y,,,,,Y,,,,,,,,,Y,,,,,
2,11000073870,Integricare,,Business,"Suite 8, Level 1,",1-17 Elsie Street,,Burwood,New South Wales,2134,Australia,www.integricare.org.au,3/12/2012,31/12/1881,Large,7,30-Jun,,Y,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,,
3,11000761571,AUSTRALIANS IN MISSION TOGETHER,,Business,35 Miriam St,,,Holland Park West,Queensland,4121,Australia,amtglobal.com.au,3/12/2012,1/01/1910,Large,10,31-Dec,,,,,,,,,"BRA, COG, COL, ESP, FJI, FRA, HKG, IND, ITA, MEX, NLD, PNG, PRT, TCD, THA, TLS, UGA, USA, ZAF, ZMB",,,,,,,,,,,,Y,,,,,,,Y,,Y,Y,,Y,,,,,,,Y,,,,Y,Y,,,Y,
4,11001209490,THE KILLARNEY SCHOOL LTD,,Business,71 Belmont Rd,,,Mosman,New South Wales,2088,Australia,https://www.killarneyschoolmosman.com,26/10/2021,11/04/2000,Medium,8,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
5,11001233790,"The Greek Orthodox Church & Community Of The ""Holy Apostles"" City Of Newcastle & District Limited",,Business,11 Steel Street,,,HAMILTON,NSW,2303,Australia,,3/12/2012,,Small,4,30-Jun,,Y,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y,,Y,Y
6,11001241005,Wangarang Industries Limited,,Business,1635 Forest Rd,,,Orange,New South Wales,2800,Australia,https://www.wangarang.com.au,3/12/2012,1/01/1975,Large,10,30-Jun,,Y,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,,,,,,,Y
7,11001350867,Subud Australia,,Business,,,,,,,Australia,https://www.subud.org.au/,3/12/2012,1/01/1986,Small,4,30-Sep,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
8,11001794396,Bethel Christian School Limited,,Business,106-114 Mount Druitt Road,,,Mount Druitt,NSW,2770,Australia,www.bethel.nsw.edu.au,3/12/2012,1/01/1979,Large,10,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y
9,11001832828,PACIFIC GROUP OF CHRISTIAN SCHOOLS LIMITED,"Pacific Hills, Pacific Hills Christian School",Business,Pacific Hills School,,,Dural,New South Wales,2158,Australia,www.pacifichills.net,3/12/2012,1/01/1979,Large,9,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
10,11002058127,Burrum Benevolent Society Inc,,Business,5-7 Prosper St,,,Howard,Queensland,4659,Australia,,3/12/2012,1/01/1991,Small,4,31-Dec,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,Y,Y,Y,,,Y,,,Y,,,,,,,,Y,,Y
11,11002389746,St Peters Pre-School Ltd,,Business,St Peters Pre School,,,Armidale,New South Wales,2350,Australia,www.stpeterspreschool.org.au,3/12/2012,1/01/1952,Medium,9,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,
12,11002595422,Chrysalis School For Rudolf Steiner Education Ltd,,Business,703 Darkwood Rd,,,Darkwood,New South Wales,2454,Australia,www.chrysalis.nsw.edu.au,3/12/2012,1/01/1983,Large,10,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
13,11003362481,Lasercraft Australia Ltd,,Business,3 Jusfrute Dr,,,West Gosford,New South Wales,2250,Australia,www.lasercraft.com.au,3/12/2012,1/01/1988,Medium,10,30-Jun,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
14,11003429338,ISCAST LTD,,Business,PO Box 40,,,Forest Hill,Victoria,3131,Australia,http://iscast.org,3/12/2012,29/12/1987,Small,9,31-Dec,,,,,,,Y,,,,,,,Y,,,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y
15,11004285956,Australian Nurses Memorial Centre,,Business,G Se 11 431 St Kilda Rd,,,Melbourne,Victoria,3004,Australia,https://australiannursesmemorialcentre.org.au/,3/12/2012,1/01/1950,Small,14,30-Jun,,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,Y,,,,Y,,,,,,,,,,Y,,,
16,11004857827,Austin Medical Research Foundation,,Business,Austin & Repat Medical Centre,,,Heidelberg,Victoria,3084,Australia,http://www.austinmrf.org.au,3/12/2012,1/01/1970,Medium,9,30-Jun,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
17,11005151771,Braemar College Limited,,Business,1499 MOUNT MACEDON ROAD,,,WOODEND,VIC,3442,Australia,www.braemar.vic.edu.au,3/12/2012,1/01/1976,Large,10,31-Dec,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y
18,11005353218,Buddha Sasana Association Of Australia Incorporated,Blue Mountains Insight Meditation Centre,Business,25 Rutland Rd,,,Medlow Bath,,2780,Australia,bmimc.org.au/,3/12/2012,1/01/1986,Small,7,30-Jun,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,
19,11005583960,Odyssey House Victoria,,Business,660 Bridge Rd,,,Richmond,Victoria,3121,Australia,www.odyssey.org.au/,3/12/2012,1/01/1979,Large,13,30-Jun,,,,,,,Y,,,Y,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
20,11005898251,The Dla Foundation Pty Ltd,,Business,,,,,,,,,3/12/2012,1/01/1981,Small,4,30-Jun,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
21,11005906054,St George Family Support Services Inc.,,Business,42 Jubilee Ave,,,Carlton,New South Wales,2218,Australia,www.sgfss.org.au,3/12/2012,1/01/1987,Medium,1,30-Jun,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,,Y,,Y,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,,,Y,,,,Y
22,11007434362,Alphington Grammar School,,Business,18 Old Heidelberg Road,,,ALPHINGTON,VIC,3078,Australia,www.alphington.vic.edu.au,3/03/2014,25/06/1990,Large,15,31-Dec,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,,Y
23,11008484197,Australian Institute Of Company Directors,,Business,18-32 Jamison St,,,Sydney,New South Wales,2000,Australia,www.companydirectors.com.au/,3/12/2012,1/01/1990,Large,16,30-Jun,,,,,,,,,"ARE, FJI, HKG, SGP",,,,,Y,,,,,,,,,,Y,Y,Y,,Y,,,,Y,,,Y,Y,,,,,,,,,,,,,
24,11010805927,Victorian Brumby Association Inc,,Business,1861 Raglan-elmhurst Rd,,,Glenlogie,Victoria,3469,Australia,www.victorianbrumbyassociation.org,3/12/2012,1/01/2007,Small,4,30-Jun,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11010856725,Sydney Sri Ayyappa Swami Centre Incorporated,,Business,1 Perry St,,,Wentworthville,,2145,Australia,sydneysriayyappa.com,3/12/2012,1/01/1999,Small,8,30-Jun,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,
26,11014757615,Hannans Primary School Parents & Citizens Association Inc,,Business,2 Nankiville Rd,,,Hannans,Western Australia,6430,Australia,https://www.facebook.com/groups/235947817697860,3/12/2012,1/09/2001,Small,8,31-Dec,,,,,,,,Y,,,,,,Y,,,,,,,,,,Y,,,Y,,Y,Y,Y,Y,Y,,,Y,,,,,,Y,,Y,Y,,,,
27,11019639609,Denzil Don Kindergarten Inc,,Business,256 Union St,,,Brunswick West,Victoria,3055,Australia,,3/12/2012,1/01/1950,Medium,4,30-Sep,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
28,11021947936,Yagoona Baptist Church,,Business,18 The Crescent,,,Yagoona,New South Wales,2199,Australia,,3/12/2012,1/01/1938,Small,1,30-Jun,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11022882563,Irvinebank School Of Arts And Progress Association Inc,,Business,16 O'callaghan St,,,Irvinebank,Queensland,4887,Australia,https://irvinebank.org,3/12/2012,31/12/1883,Small,1,31-Dec,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,
30,11031563484,The Trustee For The Balmain Parish St Johns - Acpt (1023),,Business,"Level 2, St Andrew's House",Sydney Square,,Sydney,NSW,2000,,,3/12/2012,1/01/2000,Small,15,31-Dec,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
